Komoditas,TGl,Harga
Cabe Merah Keriting,03/06/20,26684
Cabe Merah Keriting,04/06/20,27248
Cabe Merah Keriting,05/06/20,26713
Cabe Merah Keriting,06/06/20,
Cabe Merah Keriting,07/06/20,
Cabe Merah Keriting,08/06/20,26601
Cabe Merah Keriting,09/06/20,26432
Cabe Merah Keriting,10/06/20,25100
Cabe Merah Keriting,11/06/20,25133
Cabe Merah Keriting,12/06/20,25926
Cabe Merah Keriting,13/06/20,
Cabe Merah Keriting,14/06/20,
Cabe Merah Keriting,15/06/20,26849
Cabe Merah Keriting,16/06/20,27595
Cabe Merah Keriting,17/06/20,27919
Cabe Merah Keriting,18/06/20,27643
Cabe Merah Keriting,19/06/20,27863
Cabe Merah Keriting,20/06/20,
Cabe Merah Keriting,21/06/20,
Cabe Merah Keriting,22/06/20,29346
Cabe Merah Keriting,23/06/20,29274
Cabe Merah Keriting,24/06/20,29227
Cabe Merah Keriting,25/06/20,28539
Cabe Merah Keriting,26/06/20,28522
Cabe Merah Keriting,27/06/20,
Cabe Merah Keriting,28/06/20,
Cabe Merah Keriting,29/06/20,28372
Cabe Merah Keriting,30/06/20,29060
Cabe Merah Keriting,01/07/20,28336
Cabe Merah Keriting,02/07/20,28288
Cabe Merah Keriting,03/07/20,28333
Cabe Merah Keriting,04/07/20,
Cabe Merah Keriting,05/07/20,
Cabe Merah Keriting,06/07/20,28132
Cabe Merah Keriting,07/07/20,27898
Cabe Merah Keriting,08/07/20,28494
Cabe Merah Keriting,09/07/20,28259
Cabe Merah Keriting,10/07/20,28085
Cabe Merah Keriting,11/07/20,
Cabe Merah Keriting,12/07/20,72500
Cabe Merah Keriting,13/07/20,29659
Cabe Merah Keriting,14/07/20,29796
Cabe Merah Keriting,15/07/20,30122
Cabe Merah Keriting,16/07/20,30268
Cabe Merah Keriting,17/07/20,30294
Cabe Merah Keriting,18/07/20,
Cabe Merah Keriting,19/07/20,
Cabe Merah Keriting,20/07/20,30698
Cabe Merah Keriting,21/07/20,30510
Cabe Merah Keriting,22/07/20,30509
Cabe Merah Keriting,23/07/20,30633
Cabe Merah Keriting,24/07/20,30572
Cabe Merah Keriting,25/07/20,
Cabe Merah Keriting,26/07/20,
Cabe Merah Keriting,27/07/20,32488
Cabe Merah Keriting,28/07/20,33988
Cabe Merah Keriting,29/07/20,35775
Cabe Merah Keriting,30/07/20,36809
Cabe Merah Keriting,31/07/20,
Cabe Merah Keriting,01/08/20,37667
Cabe Merah Keriting,02/08/20,36667
Cabe Merah Keriting,03/08/20,35375
Cabe Merah Keriting,04/08/20,34224
Cabe Merah Keriting,05/08/20,33796
Cabe Merah Keriting,06/08/20,33362
Cabe Merah Keriting,07/08/20,33191
Cabe Merah Keriting,08/08/20,25000
Cabe Merah Keriting,09/08/20,25000
Cabe Merah Keriting,10/08/20,33047
Cabe Merah Keriting,11/08/20,33095
Cabe Merah Keriting,12/08/20,32212
Cabe Merah Keriting,13/08/20,31877
Cabe Merah Keriting,14/08/20,31589
Cabe Merah Keriting,15/08/20,
Cabe Merah Keriting,16/08/20,
Cabe Merah Keriting,17/08/20,28063
Cabe Merah Keriting,18/08/20,30646
Cabe Merah Keriting,19/08/20,30294
Cabe Merah Keriting,20/08/20,26809
Cabe Merah Keriting,21/08/20,
Cabe Merah Keriting,22/08/20,
Cabe Merah Keriting,23/08/20,
Cabe Merah Keriting,24/08/20,29209
Cabe Merah Keriting,25/08/20,29145
Cabe Merah Keriting,26/08/20,28585
Cabe Merah Keriting,27/08/20,28533
Cabe Merah Keriting,28/08/20,28306
Cabe Merah Keriting,29/08/20,
Cabe Merah Keriting,30/08/20,
Cabe Merah Keriting,31/08/20,28291
Cabe Merah Keriting,01/09/20,28083
Cabe Merah Keriting,02/09/20,27833
Cabe Merah Keriting,03/09/20,27959
Cabe Merah Keriting,04/09/20,28072
Cabe Merah Keriting,05/09/20,26000
Cabe Merah Keriting,06/09/20,49900
Cabe Merah Keriting,07/09/20,28915
Cabe Merah Keriting,08/09/20,28885
Cabe Merah Keriting,09/09/20,29370
Cabe Merah Keriting,10/09/20,30170
Cabe Merah Keriting,11/09/20,30041
Cabe Merah Keriting,12/09/20,
Cabe Merah Keriting,13/09/20,
Cabe Merah Keriting,14/09/20,30489
Cabe Merah Keriting,15/09/20,31376
Cabe Merah Keriting,16/09/20,31124
Cabe Merah Keriting,17/09/20,31033
Cabe Merah Keriting,18/09/20,30739
Cabe Merah Keriting,19/09/20,
Cabe Merah Keriting,20/09/20,
Cabe Merah Keriting,21/09/20,31859
Cabe Merah Keriting,22/09/20,31883
Cabe Merah Keriting,23/09/20,31580
Cabe Merah Keriting,24/09/20,31360
Cabe Merah Keriting,25/09/20,31195
Cabe Merah Keriting,26/09/20,26000
Cabe Merah Keriting,27/09/20,38950
Cabe Merah Keriting,28/09/20,33039
Cabe Merah Keriting,29/09/20,33761
Cabe Merah Keriting,30/09/20,34574
Cabe Merah Keriting,01/10/20,35498
Cabe Merah Keriting,02/10/20,35951
Cabe Merah Keriting,03/10/20,38000
Cabe Merah Keriting,04/10/20,38000
Cabe Merah Keriting,05/10/20,38264
Cabe Merah Keriting,06/10/20,39223
Cabe Merah Keriting,07/10/20,39990
Cabe Merah Keriting,08/10/20,39543
Cabe Merah Keriting,09/10/20,39533
Cabe Merah Keriting,10/10/20,52500
Cabe Merah Keriting,11/10/20,
Cabe Merah Keriting,12/10/20,40029
Cabe Merah Keriting,13/10/20,39570
Cabe Merah Keriting,14/10/20,40232
Cabe Merah Keriting,15/10/20,39117
Cabe Merah Keriting,16/10/20,39129
Cabe Merah Keriting,17/10/20,
Cabe Merah Keriting,18/10/20,
Cabe Merah Keriting,19/10/20,40044
Cabe Merah Keriting,20/10/20,39371
Cabe Merah Keriting,21/10/20,39138
Cabe Merah Keriting,22/10/20,38855
Cabe Merah Keriting,23/10/20,39378
Cabe Merah Keriting,24/10/20,40000
Cabe Merah Keriting,25/10/20,40000
Cabe Merah Keriting,26/10/20,39716
Cabe Merah Keriting,27/10/20,39945
Cabe Merah Keriting,28/10/20,42167
Cabe Merah Keriting,29/10/20,
Cabe Merah Keriting,30/10/20,38890
Cabe Merah Keriting,31/10/20,38500
Cabe Merah Keriting,01/11/20,38500
Cabe Merah Keriting,02/11/20,40644
Cabe Merah Keriting,03/11/20,40957
Cabe Merah Keriting,04/11/20,40666
Cabe Merah Keriting,05/11/20,40822
Cabe Merah Keriting,06/11/20,40903
Cabe Merah Keriting,07/11/20,40000
Cabe Merah Keriting,08/11/20,54950
Cabe Merah Keriting,09/11/20,40960
Cabe Merah Keriting,10/11/20,40527
Cabe Merah Keriting,11/11/20,40570
Cabe Merah Keriting,12/11/20,40555
Cabe Merah Keriting,13/11/20,40897
Cabe Merah Keriting,14/11/20,
Cabe Merah Keriting,15/11/20,
Cabe Merah Keriting,16/11/20,40249
Cabe Merah Keriting,17/11/20,39940
Cabe Merah Keriting,18/11/20,39845
Cabe Merah Keriting,19/11/20,40083
Cabe Merah Keriting,20/11/20,40169
Cabe Merah Keriting,21/11/20,45000
Cabe Merah Keriting,22/11/20,45000
Cabe Merah Keriting,23/11/20,40278
Cabe Merah Keriting,24/11/20,39885
Cabe Merah Keriting,25/11/20,40047
Cabe Merah Keriting,26/11/20,40052
Cabe Merah Keriting,27/11/20,40629
Cabe Merah Keriting,28/11/20,42500
Cabe Merah Keriting,29/11/20,42500
Cabe Merah Keriting,30/11/20,42796
Cabe Merah Keriting,01/01/21,
Cabe Merah Keriting,02/01/21,
Cabe Merah Keriting,03/01/21,
Cabe Merah Keriting,04/01/21,55591
Cabe Merah Keriting,05/01/21,56212
Cabe Merah Keriting,06/01/21,55051
Cabe Merah Keriting,07/01/21,53588
Cabe Merah Keriting,08/01/21,54242
Cabe Merah Keriting,09/01/21,
Cabe Merah Keriting,10/01/21,
Cabe Merah Keriting,11/01/21,52932
Cabe Merah Keriting,12/01/21,52732
Cabe Merah Keriting,13/01/21,52204
Cabe Merah Keriting,14/01/21,51404
Cabe Merah Keriting,15/01/21,51031
Cabe Merah Keriting,16/01/21,
Cabe Merah Keriting,17/01/21,
Cabe Merah Keriting,18/01/21,51383
Cabe Merah Keriting,19/01/21,50621
Cabe Merah Keriting,20/01/21,51674
Cabe Merah Keriting,21/01/21,50257
Cabe Merah Keriting,22/01/21,49344
Cabe Merah Keriting,23/01/21,
Cabe Merah Keriting,24/01/21,
Cabe Merah Keriting,25/01/21,47426
Cabe Merah Keriting,26/01/21,45652
Cabe Merah Keriting,27/01/21,45596
Cabe Merah Keriting,28/01/21,46039
Cabe Merah Keriting,29/01/21,45269
Cabe Merah Keriting,30/01/21,
Cabe Merah Keriting,31/01/21,
Cabe Merah Keriting,01/02/21,47241
Cabe Merah Keriting,02/02/21,48249
Cabe Merah Keriting,03/02/21,47864
Cabe Merah Keriting,04/02/21,47551
Cabe Merah Keriting,05/02/21,48372
Cabe Merah Keriting,06/02/21,
Cabe Merah Keriting,07/02/21,
Cabe Merah Keriting,08/02/21,48304
Cabe Merah Keriting,09/02/21,50746
Cabe Merah Keriting,10/02/21,49625
Cabe Merah Keriting,11/02/21,47150
Cabe Merah Keriting,12/02/21,
Cabe Merah Keriting,13/02/21,
Cabe Merah Keriting,14/02/21,
Cabe Merah Keriting,15/02/21,45943
Cabe Merah Keriting,16/02/21,46015
Cabe Merah Keriting,17/02/21,45716
Cabe Merah Keriting,18/02/21,45821
Cabe Merah Keriting,19/02/21,45763
Cabe Merah Keriting,20/02/21,
Cabe Merah Keriting,21/02/21,
Cabe Merah Keriting,22/02/21,45513
Cabe Merah Keriting,23/02/21,45496
Cabe Merah Keriting,24/02/21,44468
Cabe Merah Keriting,25/02/21,44930
Cabe Merah Keriting,26/02/21,45247
Cabe Merah Keriting,27/02/21,
Cabe Merah Keriting,28/02/21,
Cabe Merah Keriting,01/03/21,46999
Cabe Merah Keriting,02/03/21,47812
Cabe Merah Keriting,03/03/21,46816
Cabe Merah Keriting,04/03/21,47734
Cabe Merah Keriting,05/03/21,45751
Cabe Merah Keriting,06/03/21,
Cabe Merah Keriting,07/03/21,
Cabe Merah Keriting,08/03/21,47406
Cabe Merah Keriting,09/03/21,47663
Cabe Merah Keriting,10/03/21,48434
Cabe Merah Keriting,11/03/21,
Cabe Merah Keriting,12/03/21,47731
Cabe Merah Keriting,13/03/21,
Cabe Merah Keriting,14/03/21,
Cabe Merah Keriting,15/03/21,47846
Cabe Merah Keriting,16/03/21,47937
Cabe Merah Keriting,17/03/21,47695
Cabe Merah Keriting,18/03/21,49037
Cabe Merah Keriting,19/03/21,49103
Cabe Merah Keriting,20/03/21,
Cabe Merah Keriting,21/03/21,
Cabe Merah Keriting,22/03/21,49235
Cabe Merah Keriting,23/03/21,48630
Cabe Merah Keriting,24/03/21,49080
Cabe Merah Keriting,25/03/21,49155
Cabe Merah Keriting,26/03/21,49145
Cabe Merah Keriting,27/03/21,
Cabe Merah Keriting,28/03/21,
Cabe Merah Keriting,29/03/21,49254
Cabe Merah Keriting,30/03/21,49175
Cabe Merah Keriting,31/03/21,48773
Cabe Merah Keriting,01/04/21,49844
Cabe Merah Keriting,02/04/21,49844
Cabe Merah Keriting,03/04/21,
Cabe Merah Keriting,04/04/21,
Cabe Merah Keriting,05/04/21,48928
Cabe Merah Keriting,06/04/21,49471
Cabe Merah Keriting,07/04/21,49972
Cabe Merah Keriting,08/04/21,50038
Cabe Merah Keriting,09/04/21,50139
Cabe Merah Keriting,10/04/21,
Cabe Merah Keriting,11/04/21,
Cabe Merah Keriting,12/04/21,50670
Cabe Merah Keriting,13/04/21,50548
Cabe Merah Keriting,14/04/21,51697
Cabe Merah Keriting,15/04/21,51153
Cabe Merah Keriting,16/04/21,50551
Cabe Merah Keriting,17/04/21,
Cabe Merah Keriting,18/04/21,
Cabe Merah Keriting,19/04/21,47784
Cabe Merah Keriting,20/04/21,47411
Cabe Merah Keriting,21/04/21,46200
Cabe Merah Keriting,22/04/21,45447
Cabe Merah Keriting,23/04/21,44194
Cabe Merah Keriting,24/04/21,
Cabe Merah Keriting,25/04/21,
Cabe Merah Keriting,26/04/21,41323
Cabe Merah Keriting,27/04/21,38980
Cabe Merah Keriting,28/04/21,38492
Cabe Merah Keriting,29/04/21,38036
Cabe Merah Keriting,30/04/21,36890
Cabe Merah Keriting,01/05/21,
Cabe Merah Keriting,02/05/21,
Cabe Merah Keriting,03/05/21,38122
Cabe Merah Keriting,04/05/21,38169
Cabe Merah Keriting,05/05/21,36828
Cabe Merah Keriting,06/05/21,37187
Cabe Merah Keriting,07/05/21,37553
Cabe Merah Keriting,08/05/21,
Cabe Merah Keriting,09/05/21,
Cabe Merah Keriting,10/05/21,43084
Cabe Merah Keriting,11/05/21,43785
Cabe Merah Keriting,12/05/21,44550
Cabe Merah Keriting,13/05/21,
Cabe Merah Keriting,14/05/21,46029
Cabe Merah Keriting,15/05/21,46000
Cabe Merah Keriting,16/05/21,44929
Cabe Merah Keriting,17/05/21,40594
Cabe Merah Keriting,18/05/21,39883
Cabe Merah Keriting,19/05/21,38705
Cabe Merah Keriting,20/05/21,37160
Cabe Merah Keriting,21/05/21,36155
Cabe Merah Keriting,22/05/21,
Cabe Merah Keriting,23/05/21,
Cabe Merah Keriting,24/05/21,34080
Cabe Merah Keriting,25/05/21,32904
Cabe Merah Keriting,26/05/21,
Cabe Merah Keriting,27/05/21,32987
Cabe Merah Keriting,28/05/21,32313
Cabe Merah Keriting,29/05/21,
Cabe Merah Keriting,30/05/21,
Cabe Merah Keriting,31/05/21,31573
Cabe Merah Keriting,01/06/21,
Cabe Merah Keriting,02/06/21,30928
Cabe Merah Keriting,03/06/21,31276
Cabe Merah Keriting,04/06/21,31262
Cabe Merah Keriting,05/06/21,
Cabe Merah Keriting,06/06/21,
Cabe Merah Keriting,07/06/21,30859
Cabe Merah Keriting,08/06/21,30633
Cabe Merah Keriting,09/06/21,30480
Cabe Merah Keriting,10/06/21,30785
Cabe Merah Keriting,11/06/21,30752
Cabe Merah Keriting,12/06/21,
Cabe Merah Keriting,13/06/21,
Cabe Merah Keriting,14/06/21,30648
Cabe Merah Keriting,15/06/21,30573
Cabe Merah Keriting,16/06/21,30517
Cabe Merah Keriting,17/06/21,30589
Cabe Merah Keriting,18/06/21,30608
Cabe Merah Keriting,19/06/21,
Cabe Merah Keriting,20/06/21,
Cabe Merah Keriting,21/06/21,31561
Cabe Merah Keriting,22/06/21,31542
Cabe Merah Keriting,23/06/21,31711
Cabe Merah Keriting,24/06/21,31756
Cabe Merah Keriting,25/06/21,32326
Cabe Merah Keriting,26/06/21,
Cabe Merah Keriting,27/06/21,
Cabe Merah Keriting,28/06/21,32699
Cabe Merah Keriting,29/06/21,32876
Cabe Merah Keriting,30/06/21,33003
Cabe Merah Keriting,01/07/21,33767
Cabe Merah Keriting,02/07/21,33744
Cabe Merah Keriting,03/07/21,
Cabe Merah Keriting,04/07/21,
Cabe Merah Keriting,05/07/21,34668
Cabe Merah Keriting,06/07/21,34613
Cabe Merah Keriting,07/07/21,36430
Cabe Merah Keriting,08/07/21,35665
Cabe Merah Keriting,09/07/21,35988
Cabe Merah Keriting,10/07/21,
Cabe Merah Keriting,11/07/21,
Cabe Merah Keriting,12/07/21,35777
Cabe Merah Keriting,13/07/21,35823
Cabe Merah Keriting,14/07/21,35653
Cabe Merah Keriting,15/07/21,35764
Cabe Merah Keriting,16/07/21,36522
Cabe Merah Keriting,17/07/21,
Cabe Merah Keriting,18/07/21,
Cabe Merah Keriting,19/07/21,40382
Cabe Merah Keriting,20/07/21,
Cabe Merah Keriting,21/07/21,39806
Cabe Merah Keriting,22/07/21,38923
Cabe Merah Keriting,23/07/21,38482
Cabe Merah Keriting,24/07/21,
Cabe Merah Keriting,25/07/21,45000
Cabe Merah Keriting,26/07/21,36029
Cabe Merah Keriting,27/07/21,35322
Cabe Merah Keriting,28/07/21,34226
Cabe Merah Keriting,29/07/21,33707
Cabe Merah Keriting,30/07/21,32651
Cabe Merah Keriting,31/07/21,
Cabe Merah Keriting,01/08/21,
Cabe Merah Keriting,02/08/21,31268
Cabe Merah Keriting,03/08/21,30572
Cabe Merah Keriting,04/08/21,30388
Cabe Merah Keriting,05/08/21,30787
Cabe Merah Keriting,06/08/21,30006
Cabe Merah Keriting,07/08/21,
